Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Customer Reference,Quantity 1,Quantity 2,Quantity 3,Mfg Std Lead Time,Description,Comments,RoHS Status,Lead Free Status,REACH Status
VS-10BQ015-M3/5BTGICT-ND,VISHAY SEMICONDUCTOR DIODES DIVISION (VA),VS-10BQ015-M3/5BT,D1,1,0,0,11 Weeks,DIODE SCHOTTKY 15V 1A DO214AA,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jan-2017
SC4503TSKCT-ND,SEMTECH CORPORATION (VA),SC4503TSKTRT,U2,1,0,0,6 Weeks,IC REG BOOST ADJ 1.4A TSOT23-5,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
MCP73831T-2ACI/OTCT-ND,MICROCHIP TECHNOLOGY (VA),MCP73831T-2ACI/OT,U1,1,0,0,6 Weeks,IC CONTROLLR LI-ION 4.2V SOT23-5,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jan-2017
SRN4018-2R7MCT-ND,BOURNS INC (VA),SRN4018-2R7M,L1,1,0,0,28 Weeks,FIXED IND 2.7UH 2.3A 52 MOHM SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jan-2017
36-54-ND,KEYSTONE ELECTRONICS,54,BT1,2,0,0,6 Weeks,BATTERY CLIP 18MM 18650 CELL,,RoHS Compliant,Lead free,Unaffected Jan-2017
ED2740-ND,ON SHORE TECHNOLOGY INC,OSTTE020104,P1,1,0,0,10 Weeks,TERMINAL BLOCK 3.5MM 2POS PCB,,RoHS Compliant,Lead free,Unaffected Jun-2016
CKN10397-ND,C&K,SS-12D07-VG 4 NS GA PA,SW1,1,0,0,6 Weeks,SWITCH SLIDE SPDT 300MA 30V,,RoHS Compliant,Lead free,Unaffected Jan-2017
732-4984-1-ND,WURTH ELECTRONICS INC (VA),150080RS75000,LED1,1,0,0,10 Weeks,LED RED CLEAR 0805 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2016
732-4986-1-ND,WURTH ELECTRONICS INC (VA),150080VS75000,LED2,1,0,0,10 Weeks,LED GREEN CLEAR 0805 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2016
1276-2969-1-ND,"SAMSUNG ELECTRO-MECHANICS AMERICA, INC (VA)",CL21B475KAFNNNE,"C1, C6",2,0,0,12 Weeks,CAP CER 4.7UF 25V X7R 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jan-2017
1276-1804-1-ND,"SAMSUNG ELECTRO-MECHANICS AMERICA, INC (VA)",CL31B106KAHNNNE,C2,1,0,0,12 Weeks,CAP CER 10UF 25V X7R 1206,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jan-2017
1276-1162-1-ND,"SAMSUNG ELECTRO-MECHANICS AMERICA, INC (VA)",CL21B225KOFNNNE,C3,1,0,0,12 Weeks,CAP CER 2.2UF 16V X7R 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jan-2017
1276-1302-1-ND,"SAMSUNG ELECTRO-MECHANICS AMERICA, INC (VA)",CL21C2R2CBANNNC,C5,1,0,0,12 Weeks,CAP CER 2.2PF 50V C0G/NP0 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jan-2017
RMCF0805JT470RCT-ND,STACKPOLE ELECTRONICS INC (VA),RMCF0805JT470R,"R1, R2",2,0,0,12 Weeks,RES SMD 470 OHM 5% 1/8W 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jan-2017
P2.00KCCT-ND,PANASONIC ELECTRONIC COMPONENTS (VA),ERJ-6ENF2001V,R3,1,0,0,41 Weeks,RES SMD 2K OHM 1% 1/8W 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jan-2017
311-15.0KCRCT-ND,YAGEO (VA),RC0805FR-0715KL,R4,1,0,0,22 Weeks,RES SMD 15K OHM 1% 1/8W 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jan-2017
311-866KCRCT-ND,YAGEO (VA),RC0805FR-07866KL,R5,1,0,0,22 Weeks,RES SMD 866K OHM 1% 1/8W 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jan-2017
311-100KCRCT-ND,YAGEO (VA),RC0805FR-07100KL,R6,1,0,0,22 Weeks,RES SMD 100K OHM 1% 1/8W 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jan-2017
1276-2536-1-ND,"SAMSUNG ELECTRO-MECHANICS AMERICA, INC (VA)",CL21B563KBCNNNC,C4,1,0,0,12 Weeks,CAP CER 0.056UF 50V X7R 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jan-2017
609-4618-1-ND,AMPHENOL FCI (VA),10118194-0001LF,X1,1,0,0,12 Weeks,CONN USB MICRO B RECPT SMT R/A,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
